hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
Park Inn by Radisson Goa Candolim,Candolim,| 7 minutes walk to Candolim Beach,3.8,"['Gym', 'Swimming Pool']","₹6,192 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Elements by Rosetta,South Goa,| 1.7 km drive to Varca Beach,4.9,"['Gym', 'Swimming Pool']","₹13,494 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedAvailINR3500hotelvoucherredeemableonstayof3daysormore20%offonsessionofSpa
Hotel Jyoti Plaza,Margao,null,4.1,"['Bar', 'Jacuzzi']","₹2,092 per night",null,null,null,Breakfastavailableatextracharges
Novotel Goa Resort and Spa Candolim,Candolim,| 4 minutes walk to Candolim Beach,4.1,"['Spa', 'Gym']","₹11,124 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableComeswith2outdoorpools,Jacuzzi&TurkishHammam"
Resorte Marinha Dourada,Arpora,| 2.2 km drive to Baga Beach,3.9,"['Swimming Pool', 'Beds in a Hostel']","₹7,090 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Panjim City Dorms,Panjim,| 8 minutes walk to Deltin Royale,3.8,"['| 2 Dorm Beds', 'Lounge']",₹872 per night,null,Beds in a Hostel,| 2 Dorm Beds,"Idyllichostelfeaturingalounge,diningarea&freeWi-Fi"
Island House,Tiswadi,null,4.3,"['Caretaker', '| 1 Bedroom | Sleeps 2 guests']","₹4,932 per night",Like a 4 Star,Room in a Homestay,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyBreakfastIncludedHomestayfeaturingapool,restaurant&freeparking"
"Fortune Resort Benaulim, Goa",Benaulim,| 4-5 minutes walk from Benaulim Beach,4.1,"['Swimming Pool', 'Caretaker']","₹17,640 per night",null,null,null,CoupleFriendlyBreakfastIncluded15%DiscountOnF&BServices
Alekhya Suites,Panjim,| 1.1 km drive to Miramar Beach,3.5,"['Gym', 'Swimming Pool']","₹3,325 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Resort Lagoa Azul,Arpora,| 2.8 km drive to Baga Beach,4,"['Spa', 'Swimming Pool']","₹4,128 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Downtown Anjuna - The Party Hostel,Anjuna,| 1.6 km drive to Anjuna Beach,4.4,"['Gym', 'Swimming Pool']","₹2,099 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly
I Love Bell Bottoms Vagator Goa,Vagator,| 1.3 km drive to Vagator Beach,4.2,"['Beds in a Hostel', '| 2 Dorm Beds']","₹6,123 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableEnjoyHappyHourswith2+1offeronAlcoholicDrinks,SoftBeverages"
Grand Vatika Resort,Arambol,| 2.7 km drive to Mandrem Beach,4.4,"['Swimming Pool', 'Kitchenette']","₹3,274 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Whoopers Hostel Palolem | Room & Dorms,Palolem,| 2 minutes walk to Palolem Beach,3.9,"['Swimming Pool', 'Gym']","₹1,292 per night",null,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyFunhostelfeaturingacafe,powerbackup,kitchen&Wi-Fi"
Fortune Select Candolim-Member ITC's Hotel Group,Candolim,| 1.2 km drive to Candolim Beach,4.8,"['Gym', 'Swimming Pool']","₹8,549 per night",null,null,null,CoupleFriendlyBreakfastIncluded
goSTOPS Goa Baga,Baga,| 1.7 km drive to Baga Beach,4.1,"['Beds in a Hostel', '| 2 Dorm Beds']","₹1,671 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"Vibranthostelofferingapool,playarea&lounge"
